comentario,valor
:(. Katastrofa!,Bad
"A PLACE NOT TO GO - EVEN IF YOU'RE DESPERATE!. It was unclean.
It was very loud and noisy at night's, very difficult to get to sleep ,people coming in late and drunk,drunken arguments going on,could hear people having sex,due to the walls being so thin.the staff couldn't care less and were no help at all.The rooms are nothing like they are advertised,the place is more like what i would imagine a halfway house for the homeless would be like.it's quite obvious that properties are not checked out by booking.com as any decent site would not advertise such a place,and my opinion of booking.com has seriously gone downhill.",Bad
A place to be avoided like the page.. everything,Bad
Absolutament res vergonyós un robo descarat uns aprofitats i.... Absolutament res vergonyós un robo descarat uns aprofitats i pe Booking.com es la meva ultima reserva ,Bad
"Absolute disregard for the guests, visit any reception or.... Absolute disregard for the guests, visit any reception or request absolutely useless, it is not interested in anything, just to pay and then dropped out. Until today, I deal with reception requirements that were automatic departure day, we the day before departure and have suggested solutions to today not solved, the reception is absolutely false and fake. Absolutely I recommend this resort for access to guests.",Bad
"Apartments were absolutely filthy,run down in a very bad state of disrepair.. Everything.",Bad
Avoid !!!!. The place was dated and unclean the food was just awful and the staff were rude.,Bad
Avoid at all costs. This property is nothing but a hovel. I would not recommend it to my worst enemy. It should be removed from your site.,Bad
"Avoid at all costs
. Customer service was horrendous
No clean towels provided daily
",Bad
avoid at all costs.. Unhelpful staff no facilties to be able to offer courtesy rooms for late flights.no air conditioning no kettle .,Bad
"Avoid!!!!!!!!!. Infested with cockroach's, food was awful, staff were rude, health and safety should of shut them down",Bad
Awful. Wrong information given and no excuses given. Very run down place.,Bad
"Awful. Staff, room dirty, had to wait 4 to check in",Bad
Awful. Sorry everything.  I know it was only cheap and a hostal but room floor was dirty.  As I was taken to room and door opened the handle fell off and door could not be locked properly . It was how ever dealt with straight away.  The manager looked on floor for the screw that cam out of handle by sweeping floor with a broom which was the covered with fluff and dirt .  This did clean the floor a bit but it needed mopping to get clean.   The beds were comfy but sheets and towels were very tired looking and stained. The shared bathroom was a disgrace.  The toilet needed cleaning as did wash basin.  The shower was unfit to use.  It was stained and filthy.  I can understand as a hostel people are coming and going but the walls were paper thin .  Banging and crashing of doors all night . Maybe they need to have retainers to stop doors banging.  Who ever was on duty talked all night .  I had about 1 hours sleep on and off all night.  I felt unsafe due to banging and crashing of something metallic all night from about 1230am right through to 6am when I had to get ready for the business trip I was in the area for .  Don't think you should advertise this for your customers only fit for someone who is going to stay out all night and sleep all day because they have had too much to drink and wouldn't hear a thing due to being in a drunken stupor. Very very poor rooms not even worth 10€.,Bad
awful dirty run down prop5. Everything,Bad
Awful disgusting hotel. I hated everything about this hotel. The clients are scruffy and the staff are putrid the way they talk to you.,Bad
